	min	max
alanine	189.5	999.1
arginine	19.8	147.7
asparagine	34.2	90.8
aspartic_acid	1.9	18.0
citrulline	7.9	48.9
glutamic_acid	28.0	111.0
glutamine	401.7	1230.5
glycine	106.6	532.0
histidine	43.8	120.0
hydroxyproline	6.8	151.7
isoleucine	33.7	88.6
leucine	55.4	150.2
lysine	42.0	218.9
methionine	12.9	34.4
ornithine	28.2	155.2
phenylalanine	37.1	120.2
proline	179.6	610.8
serine	92.8	240.7
taurine	6.0	190.8
threonine	40.4	188.3
trytophan	14.6	97.7
tyrosine	27.3	138.6
valine	100.4	262.0
