	min	max
alanine	144.1	793.8
arginine	14.6	98.9
asparagine	26.3	78.8
aspartic_acid	2.1	16.3
citrulline	10.8	53.9
glutamic_acid	27.6	114.7
glutamine	315.1	906.0
glycine	96.1	315.1
histidine	43.8	98.9
hydroxyproline	12.6	37.0
isoleucine	25.4	110.7
leucine	46.5	186.4
lysine	45.3	269.1
methionine	12.1	50.4
ornithine	24.2	106.6
phenylalanine	27.2	206.3
proline	182.1	662.5
serine	55.0	214.0
taurine	0.8	111.0
threonine	24.7	168.5
trytophan	25.9	77.5
tyrosine	30.7	160.5
valine	73.9	382.4
