param_Weight	param_Length	cognitive_score_52	vocalisation_52	WLZ_WHZ_52
-2.0	-2.0	95.80955505371094	4.948272705078125	-1.6241196393966675
-2.0	-1.8	95.82865142822266	4.951965808868408	-1.6244418621063232
-2.0	-1.6	95.84759521484375	4.955604076385498	-1.6247655153274536
-2.0	-1.4	95.8663558959961	4.9591569900512695	-1.625072717666626
-2.0	-1.2	95.88472747802734	4.962701320648193	-1.625369906425476
-2.0	-1.0	95.9030532836914	4.966212749481201	-1.6256648302078247
-2.0	-0.7999999999999998	95.92121887207031	4.969709873199463	-1.6259793043136597
-2.0	-0.5999999999999999	95.93930053710938	4.97316312789917	-1.6262710094451904
-2.0	-0.3999999999999999	95.95733642578125	4.976580619812012	-1.6265642642974854
-2.0	-0.19999999999999996	95.97537994384766	4.979961395263672	-1.6268467903137207
-2.0	0.0	95.99340057373047	4.983375549316406	-1.627124547958374
-2.0	0.20000000000000018	96.01126098632812	4.986861705780029	-1.627415657043457
-2.0	0.40000000000000036	96.02904510498047	4.990352153778076	-1.627695918083191
-2.0	0.6000000000000001	96.0469970703125	4.993858814239502	-1.627970814704895
-2.0	0.8000000000000003	96.06501007080078	4.997345924377441	-1.6282367706298828
-2.0	1.0	96.08299255371094	5.000829219818115	-1.6284822225570679
-2.0	1.2000000000000002	96.1010513305664	5.00430154800415	-1.6287105083465576
-2.0	1.4000000000000004	96.11915588378906	5.007778644561768	-1.628926157951355
-2.0	1.6	96.13733673095703	5.011280536651611	-1.629136323928833
-2.0	1.8000000000000003	96.15546417236328	5.014829635620117	-1.629336953163147
-2.0	2.0	96.1735610961914	5.0184197425842285	-1.6295440196990967
-1.8	-2.0	95.81820678710938	4.948389530181885	-1.624232292175293
-1.8	-1.8	95.83734130859375	4.9520673751831055	-1.6245537996292114
-1.8	-1.6	95.85633850097656	4.955643653869629	-1.6248722076416016
-1.8	-1.4	95.87492370605469	4.959208011627197	-1.6251881122589111
-1.8	-1.2	95.89326477050781	4.962751388549805	-1.6254863739013672
-1.8	-1.0	95.91146850585938	4.9662556648254395	-1.625805139541626
-1.8	-0.7999999999999998	95.92961120605469	4.969738960266113	-1.626109004020691
-1.8	-0.5999999999999999	95.94764709472656	4.973175048828125	-1.6264101266860962
-1.8	-0.3999999999999999	95.9656982421875	4.976574897766113	-1.6267032623291016
-1.8	-0.19999999999999996	95.98379516601562	4.979978084564209	-1.6269878149032593
-1.8	0.0	96.00177764892578	4.9834370613098145	-1.6272621154785156
-1.8	0.20000000000000018	96.01960754394531	4.986900329589844	-1.6275542974472046
-1.8	0.40000000000000036	96.03746795654297	4.990387916564941	-1.6278325319290161
-1.8	0.6000000000000001	96.05545806884766	4.993870258331299	-1.6281116008758545
-1.8	0.8000000000000003	96.0735092163086	4.997354984283447	-1.6283811330795288
-1.8	1.0	96.09135437011719	5.000816822052002	-1.6286224126815796
-1.8	1.2000000000000002	96.1093521118164	5.004271507263184	-1.6288511753082275
-1.8	1.4000000000000004	96.12733459472656	5.007736682891846	-1.6290620565414429
-1.8	1.6	96.14549255371094	5.01123046875	-1.6292692422866821
-1.8	1.8000000000000003	96.16357421875	5.014742851257324	-1.6294854879379272
-1.8	2.0	96.18155670166016	5.018354892730713	-1.6296911239624023
-1.6	-2.0	95.82677459716797	4.948493003845215	-1.6243220567703247
-1.6	-1.8	95.84596252441406	4.952106952667236	-1.6246529817581177
-1.6	-1.6	95.8648452758789	4.955715179443359	-1.6249840259552002
-1.6	-1.4	95.88343048095703	4.959278583526611	-1.6252959966659546
-1.6	-1.2	95.90164947509766	4.962803840637207	-1.625623345375061
