param_Weight	cognitive_score_52	vocalisation_52	WLZ_WHZ_52
-2.0	95.97113037109375	4.979918479919434	-1.6276729106903076
-1.8	95.97911834716797	4.979912281036377	-1.6277843713760376
-1.6	95.98695373535156	4.979870796203613	-1.627897024154663
-1.4	95.9947738647461	4.97983455657959	-1.628006100654602
-1.2	96.00243377685547	4.97976541519165	-1.6281155347824097
-1.0	96.0100326538086	4.979690074920654	-1.628212571144104
-0.7999999999999998	96.01754760742188	4.979594707489014	-1.6282936334609985
-0.5999999999999999	96.02503204345703	4.979527950286865	-1.628365159034729
-0.3999999999999999	96.03276062011719	4.9795050621032715	-1.6284241676330566
-0.19999999999999996	96.04064178466797	4.979522228240967	-1.6284728050231934
0.0	96.048583984375	4.979560852050781	-1.628517746925354
0.20000000000000018	96.05640411376953	4.979607582092285	-1.6285542249679565
0.40000000000000036	96.06428527832031	4.979619026184082	-1.628589153289795
0.6000000000000001	96.07222747802734	4.979624271392822	-1.6286218166351318
0.8000000000000003	96.0802001953125	4.979581832885742	-1.6286379098892212
1.0	96.088134765625	4.979508399963379	-1.6286332607269287
1.2000000000000002	96.09613037109375	4.979451656341553	-1.6286007165908813
1.4000000000000004	96.10419464111328	4.979379177093506	-1.6285465955734253
1.6	96.11238861083984	4.9792985916137695	-1.628475308418274
1.8000000000000003	96.12039184570312	4.979170799255371	-1.628426194190979
2.0	96.12844848632812	4.9789910316467285	-1.6283761262893677
