delta	cognitive	vocalisation	WLZ_WHZ
-2.0	0.007421688176691532	-0.010755532421171665	-0.3258489668369293
-1.8	0.008072169497609138	-0.012757927179336548	-0.3266945481300354
-1.6	0.0061409082263708115	-0.012659581378102303	-0.3275558650493622
-1.4	0.009275254793465137	-0.014062224887311459	-0.32884764671325684
-1.2	0.01069434080272913	-0.011851386167109013	-0.32650521397590637
-1.0	0.011546516790986061	-0.01368789467960596	-0.32841476798057556
-0.7999999999999998	0.01320941187441349	-0.014247515238821507	-0.32967057824134827
-0.5999999999999999	0.014849783852696419	-0.011855482123792171	-0.3276176452636719
-0.3999999999999999	0.01428574975579977	-0.012350209057331085	-0.3267044723033905
-0.19999999999999996	0.015825843438506126	-0.012163299135863781	-0.32630154490470886
0.0	0.018406037241220474	-0.011911862529814243	-0.327663779258728
0.20000000000000018	0.02057986706495285	-0.01134704053401947	-0.3269871473312378
0.40000000000000036	0.02303754724562168	-0.013207691721618176	-0.3272525668144226
0.6000000000000001	0.021870439872145653	-0.01454450748860836	-0.32586172223091125
0.8000000000000003	0.02344265766441822	-0.011775234714150429	-0.3261556923389435
1.0	0.02539263851940632	-0.012922515161335468	-0.3257375955581665
1.2000000000000002	0.029232759028673172	-0.013037202879786491	-0.3269309997558594
1.4000000000000004	0.02462337166070938	-0.009034587070345879	-0.3253451883792877
1.6	0.03208695352077484	-0.011723223142325878	-0.32595309615135193
1.8000000000000003	0.02984270639717579	-0.011308473534882069	-0.3277525007724762
2.0	0.03095247782766819	-0.013766219839453697	-0.3249315619468689
