subjectID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	dominance_gini_0	diversity_shannon_0	diversity_gini_simpson_0	Faiths_PD_0
LCC1031	-8.169061832836425	-1.6174594865238099	-1.4989840752143426	0.06539312706339882	0.1322111989503395	-0.6077146826543817	0.48040039088690684	-1.241617462204717	0.5707463605028776	-0.24450782432939286	0.99345234076117	2.71755444273452	0.88775711509464	3.671121737650001
LCC1032	-4.515583132893725	-1.2983251346148186	0.1776076626917517	-1.2251229726482342	0.13242890080181885	-0.09947959754839794	0.5954505365377168	0.5419965681256188	0.3419096902354777	-1.2452679911053488	0.994872372752345	2.27997518044088	0.76619925105396	3.76115191775
LCC1033	4.749701374534278	-0.10332684485230476	-3.6729474191278304	-0.0035733168636229206	0.9278804574455117	-6.1909786706014795	3.323657309044646	-8.96004433018914	-3.2292974692320144	8.716445340085107	0.995449966354109	2.23671624997653	0.79926570832238	2.3236174917500003
LCC1034	-14.109892325798898	-2.638309165207705	-2.169611463790241	-1.514653129639102	-0.3113858059664086	-3.3411656131416385	-2.455334117472965	-2.4214714809251823	-0.9062453308283138	1.7629997518188927	0.993553090012976	2.68677573002197	0.882599607386265	3.71715475635
LCC1035	-45.99102689386473	-5.410104512287736	4.582980269822573	-1.2680905597068755	3.3844886692446385	2.286244425229691	2.826404406438306	-3.037290630859647	-0.15479194879794186	-2.0805254486027103	0.987313817319334	3.43139286346162	0.95419870723676	3.63805708115
LCC1036	22.333007847541577	2.2629233456482565	0.1516822618050747	-0.9691617393396155	0.7841610887832944	-0.48707650360839166	0.5105249076505387	0.06306520234389476	-0.0006057335146780248	0.04459440439485378	0.997086744149836	1.74484513905744	0.652489322702903	3.05933058595
LCC1037	42.41586458589037	4.841800598093772	-0.23595525229399017	1.7755385505937655	0.07151686078168812	0.5100310037486739	0.16251473064374763	-1.0235107653384048	0.013016424120023372	0.5529075509844781	0.998304286045229	1.37175572376449	0.6428891503651	1.7057818689500002
LCC1038	15.133433727977566	1.4762480899020891	-0.291309008123302	-1.248666369103854	0.5454182351871186	-1.10490137263537	0.03909698704786725	-0.318921568267843	-0.3357593967368317	0.5213786610320309	0.994839887290616	2.52003237175837	0.881133452492001	2.8366425375500004
LCC1039	-24.037082353995824	-3.862457350147291	-0.5483634113663068	-0.9174915881728777	-0.9477121250130588	1.065135717297209	-2.118610692175401	1.3627543774998558	-0.10256485269611437	-2.178131158007331	0.991819571428572	2.94721607167296	0.91066254363364	4.493959931649999
LCC1040	-11.827994986076867	-2.251671471489113	2.3606946213344955	-0.11523362601292586	2.800816733765418	0.2916839855395243	-0.9824189762785526	1.6291682246637578	0.6335309965747693	-1.2428072816398972	0.994196970572482	2.51734848967506	0.85085404257738	3.63440827605
LCC1041	-5.60580344283676	-1.4273995088099767	-0.9032638319746441	-3.6294262341303924	0.41285931522693475	-4.112462645415917	-0.8720851202987264	-0.26881068901854377	-0.8591000439944224	2.2492016941597015	0.992525658325925	2.8686002862878	0.910751814540614	2.35760500145
LCC1042	-3.61185160730101	-0.6436623680501262	-0.7168999824211971	-0.09775101431054377	-2.2657341165839653	1.851188804554951	-4.657032711732038	1.1485309605005816	-0.580242649142272	1.5282569272421476	0.99566012949456	2.15051243435499	0.747762884356376	3.74800238985
LCC1043	-1.9146834741267076	-0.9423875915079425	-0.15394592789351516	0.01860390698913846	0.16470105761106274	0.5484092426869482	0.9171549180755894	-0.7178765502194194	0.6478741670610572	-1.899341029922724	0.99461930886566	2.46307432126717	0.835251787139397	2.7722197921500005
LCC1044	-2.6186386435244082	-0.8727275652904919	2.5644062874391866	-1.0611695159611805	0.8151521184402508	-1.3941372293975711	0.4566020956678833	2.1047143798248515	-0.14716894083488083	-1.0075951423271707	0.994590811010133	2.46381931968196	0.857930722520197	4.36388371395
LCC1045	10.191270681512826	0.7224283543632803	-2.719660764553266	2.470602978356074	-0.24291748387112275	-1.2768699916547859	0.38729585395570715	-4.743559702293627	0.25334832639082955	1.139952567382933	0.996416586017831	2.07876130765508	0.800903426545397	2.9912839969500005
LCC1046	25.857548052726845	2.7383235370062997	-0.17378887069189222	-1.9956933423233152	1.1841178078408352	-2.0108327054983426	0.4375964379443189	-0.8646877683358006	-0.6984802152970657	1.0972878020580845	0.996546020216444	2.10569940717893	0.812663156996065	2.3616989112500004
LCC1047	-37.5672443486423	-5.398959675799735	1.9332196784606352	-2.128417025906439	-0.46479135440540087	1.2704330085296196	1.4816615194415683	-0.07582594680710099	-0.8386319214162142	0.579925526220887	0.989217741312743	3.16516680895386	0.91780616867402	4.88640152365
LCC1048	24.22979060219574	2.3629114393614965	1.4970297423866707	-0.637276420046813	0.7621934634874615	1.2499219387015508	0.8316529420406665	1.9806957436672705	-0.08793146838326706	-1.281195710936551	0.996135219415334	1.97893538528633	0.69763366746068	2.88114074035
