sampleID	Temporal_Gyrus_(mid)_Left_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_Left_Supramarginal_Gyrus_left	Superior_Frontal_Gyrus_(ventral)_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_right_Supramarginal_Gyrus_left	Temporal_Gyrus_(mid)_right_Supramarginal_Gyrus_left	Supramarginal_Gyrus_right_Supramarginal_Gyrus_left	Frontal_Gyrus_(mid)_Left_Temporal_Gyrus_(mid)_left	Superior_Frontal_Gyrus_(ventral)_Temporal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Temporal_Gyrus_(mid)_left	Temporal_Gyrus_(mid)_right_Temporal_Gyrus_(mid)_left	Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_left	Superior_Frontal_Gyrus_(ventral)_Frontal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_left	Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_left	Supramarginal_Gyrus_right_Frontal_Gyrus_(mid)_left	Frontal_Gyrus_(mid)_right_Superior_Frontal_Gyrus_(ventral)	Supramarginal_Gyrus_right_Superior_Frontal_Gyrus_(ventral)	Temporal_Gyrus_(mid)_right_Superior_Frontal_Gyrus_(ventral)	Temporal_Gyrus_(mid)_right_Frontal_Gyrus_(mid)_right	Supramarginal_Gyrus_right_Frontal_Gyrus_(mid)_right	Supramarginal_Gyrus_right_Temporal_Gyrus_(mid)_right
LCC1035_52	0.823691055	0.760783431	0.637351989	0.555545499	0.492921513	0.4207826	0.722018384	0.605168285	0.36536854	0.645462413	0.336610973	0.629845938	0.211316843	0.260474036	0.474291679	0.448851851	0.201977738	0.551913003	0.491467892	0.147608893	0.460104207
LCC1037_0	0.208324578	0.542334325	0.104202329	-0.013632682	0.765440446	0.368960527	-0.451630466	-0.505827243	0.381117045	0.609397094	0.191743293	0.743279192	0.131411954	0.109974621	0.191011108	0.225094292	0.004866201	-0.322621484	0.073713923	0.081557652	0.423047358
LCC1038_52	0.245727342	0.740423302	0.229840992	0.55233189	0.608535704	0.887103361	0.493492854	0.292069956	0.442567142	-0.15063995	0.468929976	0.616868063	0.491609595	0.166257462	0.663471392	0.241147075	0.418832284	-0.22393668	0.576570062	0.44164204	0.313016093
LCC1039_52	0.619362821	0.440126594	0.03667405	0.177727664	0.329587677	0.39646085	1.032016534	0.094025572	0.520542326	0.791759891	0.681731855	0.443333109	0.644741851	0.699047801	0.634098994	0.900371179	0.277114023	0.377210248	1.120901773	0.615626252	0.700252062
LCC1040_0	0.758325075	0.172796763	-0.019946755	0.162308248	0.108058819	-0.217826254	0.434036417	0.08172245	0.369977581	0.480541076	0.003407842	0.799034607	1.143127822	0.68509782	0.612961803	0.601632641	0.417251355	0.313580306	0.759547392	0.554399169	0.477066552
LCC1040_52	0.991941373	0.792732094	0.600634731	0.57499616	0.7567579	1.089581902	1.083688177	0.749495816	0.752232597	0.759065473	1.093607806	1.06200484	1.137863199	0.797000884	0.932172837	1.169479577	0.529829302	0.628460179	0.900703328	0.663406629	0.91068954
LCC1042_0	0.739840623	0.571502956	0.04722034	0.50433477	0.837394271	0.97447406	0.489880452	0.099878561	0.64463693	0.871920514	0.495382107	0.446344033	0.906582827	0.549878883	0.717980476	0.713258789	0.112353103	0.095171225	0.613095624	0.564354511	0.664686627
LCC1042_52	0.49365541	0.128175286	-0.078775593	0.146836242	0.361005542	0.253196363	0.593982781	-0.154202346	0.020161065	0.739084052	0.300115262	0.215138893	0.150844163	0.481372431	0.650445908	0.376512447	0.142053116	0.012971666	0.342570926	0.278329793	0.401817848
LCC1043_0	0.536902383	0.249833016	-0.123856239	0.248124582	0.716862484	0.604276017	0.385419072	0.036318641	0.320298033	1.002080224	0.548745972	0.304264354	0.641151361	0.382637805	0.351950715	0.049826228	-0.245255017	0.169302472	0.376235925	0.481097348	0.622171919
LCC1043_52	1.295275116	0.330529283	0.061423902	0.272116469	0.968189553	0.975733744	0.419876146	0.098660999	0.346232929	1.17888975	0.759152393	0.684051155	0.877652963	0.28271868	0.143425487	0.5113222	0.037015313	0.108106489	0.411560424	0.122698641	0.823511026
