subjectID	Principal_type_of_flooring	Principal_wall_material	Principal_roofing_material	Cooking_gas	Telephone_mobile	Almeria	Tabletop	Chair	Bench	Watch_or_clock	Cot_or_bed	Working_Radio	Working_TV	Bicycle	Motorcycle	Sewing_machine	Members_in_household	Number_of_years_lived_in_current_household	Number_of_rooms_in_current_household	Number_of_people_usually_sleeping_in_household	Maid_working_in_household	Household_food_availability
LCC2014	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	Yes	6	15	2	6	No	Sometimes deficit
LCC2015	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	No	No	No	No	No	No	3	1	1	3	No	Surplus
LCC2016	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	No	6	17	1	6	No	Surplus
LCC2017	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	No	No	No	6	1	2	6	No	Sometimes deficit
LCC2018	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	5	1	4	No	Surplus
LCC2019	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	No	5	1	1	5	No	Neither deficit nor surplus
LCC2020	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	3	1	1	3	No	Sometimes deficit
LCC2021	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	No	No	No	4	4	1	4	No	Sometimes deficit
LCC2022	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	3	5	1	3	No	Sometimes deficit
LCC2023	Cement/Concrete	Wood	Tin roof	Yes	Yes	No	Yes	No	No	No	Yes	No	No	No	No	No	3	2	1	3	No	Sometimes deficit
LCC2024	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	3	0	1	3	No	Surplus
LCC2025	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	No	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	5	6	1	5	No	Surplus
LCC2026	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No	No	No	4	2	2	4	No	Sometimes deficit
LCC2027	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	Yes	Yes	No	No	Yes	No	No	No	No	No	3	2	1	3	No	Surplus
LCC2028	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	No	Yes	No	No	Yes	No	Yes	No	No	No	5	2	2	5	No	Sometimes deficit
LCC2029	Ceramic Tiles	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	No	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	4	12	1	4	No	Surplus
LCC2030	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No	3	0	1	3	No	Deficit in whole year
LCC2031	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	Yes	Yes	No	Yes	No	Yes	No	No	No	4	1	1	4	No	Surplus
LCC2032	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	5	8	2	5	No	Sometimes deficit
LCC2033	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	No	5	6	2	5	No	Surplus
LCC2034	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	Yes	Yes	Yes	No	No	No	Yes	No	4	0	3	4	Yes	Surplus
LCC2035	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	No	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	3	2	1	3	No	Surplus
LCC2036	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	3	1	4	No	Surplus
LCC2037	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No	Yes	5	8	2	5	No	Sometimes deficit
LCC2038	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	Yes	No	Yes	No	No	Yes	No	Yes	No	No	No	4	2	1	4	No	Sometimes deficit
LCC2039	Ceramic Tiles	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	No	4	2	1	4	No	Surplus
LCC2040	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	Yes	No	No	9	5	3	9	No	Sometimes deficit
LCC2041	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	4	1	1	4	No	Surplus
LCC2042	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	Yes	4	0	1	4	No	Surplus
LCC2043	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	4	2	1	4	No	Surplus
LCC2044	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	4	5	2	4	No	Sometimes deficit
LCC2045	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	No	No	No	10	24	3	10	No	Deficit in whole year
LCC2046	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	3	0	1	3	No	Surplus
LCC2047	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	No	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	Yes	4	1	1	4	No	Surplus
LCC2048	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	Yes	No	No	Yes	4	12	2	4	Yes	Sometimes deficit
LCC2049	Ceramic Tiles	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	No	Yes	No	6	1	2	6	No	Deficit in whole year
LCC2050	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	No	Yes	No	No	No	No	Yes	Yes	No	Yes	Yes	No	No	6	2	2	6	No	Sometimes deficit
LCC2051	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	5	1	1	5	No	Sometimes deficit
LCC2052	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	7	2	2	7	No	Sometimes deficit
LCC2053	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	Yes	No	No	Yes	No	No	No	No	Yes	4	1	1	4	No	Sometimes deficit
LCC2054	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	3	0	1	3	No	Surplus
LCC2055	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	4	3	1	4	No	Sometimes deficit
LCC2056	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	6	0	2	6	No	Sometimes deficit
LCC2057	Wood	Tin wall	Tin roof	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	No	No	No	3	0	1	3	No	Surplus
LCC2058	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	8	0	2	8	No	Sometimes deficit
LCC2059	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	No	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No	6	22	1	6	No	Sometimes deficit
LCC2060	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	6	1	2	6	No	Sometimes deficit
LCC2061	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	0	1	4	No	Sometimes deficit
LCC2062	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	Yes	No	8	6	5	8	Yes	Deficit in whole year
LCC2063	Ceramic Tiles	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	Yes	No	4	0	1	4	No	Sometimes deficit
LCC2064	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	3	1	4	No	Sometimes deficit
LCC2065	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	Yes	4	7	1	4	No	Neither deficit nor surplus
LCC2066	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	4	3	2	4	No	Surplus
LCC2067	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	5	3	1	5	No	Sometimes deficit
LCC2068	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	Yes	6	0	1	6	No	Neither deficit nor surplus
LCC2069	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	3	0	1	3	No	Surplus
LCC2070	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	4	0	3	4	No	Sometimes deficit
LCC2071	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No	3	4	1	3	No	Sometimes deficit
LCC2072	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	Yes	No	No	9	0	4	9	No	Sometimes deficit
LCC2073	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	8	4	3	8	No	Surplus
LCC2074	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No	Yes	4	3	1	4	No	Sometimes deficit
LCC2075	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	6	20	2	6	No	Sometimes deficit
