subjectID	Principal_type_of_flooring	Principal_wall_material	Principal_roofing_material	Cooking_gas	Telephone_mobile	Almeria	Tabletop	Chair	Bench	Watch_or_clock	Cot_or_bed	Working_Radio	Working_TV	Bicycle	Motorcycle	Sewing_machine	Members_in_household	Number_of_years_lived_in_current_household	Number_of_rooms_in_current_household	Number_of_people_usually_sleeping_in_household	Maid_working_in_household	Household_food_availability
LCC1063	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	5	1	2	5	No	Sometimes deficit
LCC1064	Ceramic Tiles	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	Yes	No	6	0	3	6	No	Sometimes deficit
LCC1065	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	Yes	Yes	No	No	No	5	2	1	5	No	Sometimes deficit
LCC1066	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	6	0	2	6	No	Deficit in whole year
LCC1067	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	Yes	No	Yes	No	Yes	Yes	No	Yes	4	3	1	4	No	Surplus
LCC1068	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No	6	10	1	6	No	Surplus
LCC1069	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	No	No	Yes	No	No	Yes	No	No	No	No	No	4	3	2	4	No	Surplus
LCC1070	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	Yes	No	Yes	No	Yes	No	No	Yes	5	1	1	5	No	Deficit in whole year
LCC1071	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	Yes	No	No	Yes	No	No	No	No	No	3	2	1	3	No	Sometimes deficit
LCC1072	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	5	6	1	5	No	Surplus
LCC1073	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	6	15	2	6	No	Neither deficit nor surplus
LCC1074	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	Yes	No	6	7	3	6	No	Sometimes deficit
LCC1075	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	4	25	1	4	No	Sometimes deficit
LCC1076	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	Yes	No	No	Yes	No	Yes	No	No	No	8	2	2	8	No	Surplus
LCC1077	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	5	2	2	5	No	Surplus
LCC1078	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	3	0	1	3	No	Sometimes deficit
LCC1079	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	3	0	1	3	No	Neither deficit nor surplus
LCC1080	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	8	5	2	8	No	Sometimes deficit
LCC1081	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	6	2	2	6	No	Neither deficit nor surplus
LCC1082	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	No	No	No	5	11	2	5	No	Surplus
LCC1083	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	1	1	4	No	Surplus
LCC1084	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	6	6	2	6	No	Surplus
LCC1085	Ceramic Tiles	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	No	No	No	5	11	2	5	No	Deficit in whole year
LCC1086	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	12	1	4	No	Surplus
LCC1087	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	5	15	1	5	No	Neither deficit nor surplus
LCC1088	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No	No	5	7	1	5	No	Sometimes deficit
LCC1089	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	5	2	1	5	No	Sometimes deficit
LCC1090	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	Yes	No	Yes	No	Yes	Yes	No	No	5	4	1	5	No	Sometimes deficit
LCC1091	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No	6	35	2	6	No	Surplus
LCC1092	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	No	No	No	Yes	Yes	No	Yes	No	No	No	3	1	1	3	No	Surplus
LCC1093	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	No	Yes	Yes	No	No	No	No	Yes	No	Yes	No	No	No	6	7	1	6	No	Sometimes deficit
LCC1094	Cement/Concrete	Tin wall	Tin roof	No	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	4	1	4	No	Surplus
LCC1095	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	Yes	3	11	1	3	No	Sometimes deficit
LCC1096	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	Yes	No	No	No	Yes	No	Yes	No	No	No	4	0	1	4	No	Sometimes deficit
LCC1097	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	No	No	No	No	Yes	5	16	3	5	Yes	Deficit in whole year
LCC1098	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	Yes	3	3	1	3	No	Surplus
LCC1099	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	No	No	No	5	3	2	5	No	Sometimes deficit
LCC1100	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	6	6	2	6	No	Surplus
LCC1101	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	No	No	Yes	Yes	No	No	No	No	Yes	5	15	2	5	No	Sometimes deficit
LCC1102	Wood	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	2	1	4	No	Surplus
LCC1103	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	7	5	2	7	No	Surplus
LCC1104	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	No	No	No	4	8	1	4	No	Sometimes deficit
LCC1105	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	6	12	1	6	No	Sometimes deficit
LCC1106	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	5	4	1	5	No	Surplus
LCC1107	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	5	3	1	5	No	Surplus
LCC1108	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	Yes	No	No	Yes	No	No	No	No	No	6	2	3	6	No	Surplus
LCC1109	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	No	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	No	No	No	6	14	2	6	No	Sometimes deficit
LCC1110	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	Yes	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	No	No	No	6	4	1	6	No	Sometimes deficit
LCC1111	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	5	2	1	5	No	Sometimes deficit
LCC1112	Cement/Concrete	Tin wall	Tin roof	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No	No	3	4	1	3	No	Sometimes deficit
LCC1113	Cement/Concrete	Bricks, cement blocks, concrete Walls	Tin roof	Yes	Yes	No	No	No	No	No	Yes	No	No	No	No	No	4	2	1	4	No	Surplus
LCC1114	Cement/Concrete	Bricks, cement blocks, concrete Walls	Finished roof (concrete)	No	Yes	No	No	No	No	No	Yes	No	Yes	No	No	No	6	2	2	6	No	Surplus
