sampleID	NO_TOY_PLAY	BOOK_AND_TOY_FREE_PLAY	DIVIDED_ATTENTION_TASK	SNACK_TIME
LCC1100_52	4.0	4.0	4.0	12.0
LCC1101_0	4.0	4.0	4.0	5.0
LCC1101_52	4.0	4.0	4.0	8.0
LCC1102_0	4.0	4.0	4.0	8.0
LCC1102_52	4.0	4.0	4.0	8.0
LCC1103_0	4.0	4.0	4.0	5.0
LCC1103_52	4.0	4.0	4.0	8.0
LCC1104_0	4.0	4.0	4.0	8.0
LCC1104_52	4.0	4.0	4.0	8.0
LCC1105_0	4.0	4.0	4.0	5.0
LCC1105_52	4.0	4.0	4.0	8.0
LCC1106_0	4.0	4.0	4.0	8.0
LCC1106_52	4.0	4.0	4.0	5.0
LCC1107_0	4.0	4.0	4.0	8.0
LCC1107_52	4.0	4.0	4.0	8.0
LCC1108_0	4.0	4.0	4.0	5.0
LCC1109_0	4.0	4.0	4.0	5.0
LCC1109_52	4.0	4.0	4.0	5.0
LCC1110_0	4.0	4.0	4.0	8.0
LCC1110_52	4.0	4.0	4.0	8.0
LCC1112_0	4.0	4.0	4.0	5.0
LCC1113_0	4.0	4.0	4.0	8.0
LCC1113_52	4.0	4.0	4.0	8.0
LCC1114_0	4.0	4.0	4.0	8.0
LCC1114_52	4.0	4.0	4.0	8.0
LCC1115_0	4.0	4.0	4.0	8.0
LCC1115_52	4.0	4.0	4.0	5.0
LCC1116_0	4.0	4.0	4.0	8.0
LCC1116_52	4.0	4.0	4.0	8.0
LCC1117_0	4.0	4.0	4.0	5.0
LCC1117_52	4.0	4.0	4.0	8.0
LCC1118_0	4.0	4.0	4.0	5.0
LCC1118_52	4.0	4.0	4.0	8.0
LCC1119_0	4.0	4.0	4.0	8.0
LCC1119_52	4.0	4.0	4.0	6.3
LCC1120_0	4.0	4.0	4.0	8.0
LCC1120_52	4.0	4.0	4.0	8.0
LCC1121_0	4.0	4.0	4.0	5.0
LCC1121_52	4.0	4.0	4.0	8.0
LCC1122_0	4.0	4.0	4.0	8.0
LCC1122_52	4.0	4.0	4.0	8.0
LCC1123_0	4.0	4.0	4.0	5.0
LCC1123_52	4.0	4.0	4.0	8.0
LCC1124_0	4.0	4.0	4.0	8.0
LCC1124_52	4.0	4.0	4.0	8.0
LCC1125_0	4.0	4.0	4.0	8.0
LCC1125_52	4.0	4.0	4.0	8.0
LCC1126_0	4.0	4.0	4.0	5.0
LCC1126_52	4.0	4.0	4.0	8.0
LCC1127_0	4.0	4.0	4.0	5.0
LCC1127_52	4.0	4.0	4.0	8.0
LCC1128_0	4.0	4.0	4.0	8.0
LCC1128_52	4.0	4.0	4.0	8.0
LCC1129_0	4.0	4.0	4.0	8.0
LCC1129_52	4.0	4.0	4.0	5.0
LCC1130_0	4.0	4.0	4.0	5.0
LCC1130_52	4.0	4.0	4.0	10.0
LCC1131_0	4.0	4.0	4.0	8.0
LCC1131_52	4.0	4.0	10.0	8.0
LCC1132_0	4.0	4.0	4.0	8.0
LCC1132_52	4.0	4.0	4.0	8.0
LCC1133_0	4.0	4.0	4.0	5.0
LCC1134_0	4.0	4.0	4.0	8.0
LCC1134_52	4.0	4.0	4.0	5.0
LCC1135_0	4.0	4.0	4.0	8.0
LCC1135_52	4.0	4.0	4.0	8.0
LCC1136_0	4.0	4.0	4.0	5.0
LCC1136_52	4.0	4.0	4.0	5.0
LCC1137_0	4.0	4.0	4.0	8.0
LCC1137_52	4.0	4.0	4.0	8.0
LCC1138_0	4.0	4.0	4.0	8.0
LCC1138_52	4.0	4.0	4.0	8.0
LCC1139_0	4.0	4.0	4.0	8.0
LCC1139_52	4.0	4.0	4.0	8.0
LCC1140_0	4.0	4.0	4.0	5.0
LCC1140_52	4.0	4.0	4.0	8.0
LCC1141_0	4.0	4.0	4.0	5.0
LCC1141_52	4.0	4.0	4.0	8.0
LCC1142_0	4.0	4.0	4.0	8.0
LCC1142_52	4.0	4.0	4.0	8.0
LCC1143_0	4.0	4.0	4.0	5.0
