	min	max
alanine	236.7	999.1
arginine	31.8	147.7
asparagine	39.8	90.8
aspartic_acid	1.9	18.0
citrulline	14.4	53.9
glutamic_acid	27.6	104.2
glutamine	527.4	906.0
glycine	119.2	532.0
histidine	52.8	125.5
hydroxyproline	10.2	151.7
isoleucine	44.3	105.4
leucine	65.1	172.6
lysine	68.2	218.9
methionine	16.3	46.9
ornithine	40.1	155.2
phenylalanine	47.3	131.9
proline	206.8	662.5
serine	108.6	217.4
taurine	0.8	134.5
threonine	56.3	188.3
trytophan	20.2	97.7
tyrosine	33.3	160.1
valine	123.0	382.4
