feature	required_change_original_units
4-pyridoxic_acid	62.612668485543715
Bedtime_difficulty	-1.062755800810322
Chair_No	1.043007153994349
Chair_Yes	-0.97182926
Cooking_gas_No	1.2601881804955875
Cooking_gas_Yes	-0.8165859449999999
Household_food_availability_Deficit in whole year	1.1374028294260579
Household_food_availability_Neither deficit nor surplus	1.1185842427369814
Household_food_availability_Sometimes deficit	0.9482783090321207
Household_food_availability_Surplus	1.27550508363376
Night_sleep	-91.66976372603872
Open_drain_beside_house_No	1.2807581009987132
Open_drain_beside_house_Yes	1.29205125867534
Principal_roofing_material_Finished roof (concrete)	1.0622030537246718
Principal_roofing_material_Tin roof	0.9471237483895618
Principal_type_of_toilet_facility_used_by_household_members_Pit latrine	1.1259288593638515
Principal_type_of_toilet_facility_used_by_household_members_Septic tank or toilet	-0.5747589718181818
Principal_type_of_toilet_facility_used_by_household_members_Water-sealed or slab latrine	1.2989073568482694
Tabletop_No	-0.6383751422222221
Tabletop_Yes	0.9593705952010496
Toilet_facility_shared_with_other_households_No	0.852703899942217
Toilet_facility_shared_with_other_households_Yes	-0.5689534762666667
Working_TV_No	1.1852986713511333
Working_TV_Yes	1.1430364864759943
alanine	-173.36308231225817
arginine	-21.81331372497054
asparagine	24.144119220821604
aspartic_acid	-4.435443004101639
both_before_eating	-0.503315451
both_before_feeding_child	-0.32644118283666673
citrulline	18.339758683811898
cooking_indoors	0.9832673572517086
cooking_outside	1.2396507120819193
glutamic_acid	-22.65961061469976
glutamine	301.1825500740158
glycine	-73.93895375625496
histidine	37.771686285590775
hydroxyproline	31.032390534734528
isoleucine	47.55499304055237
leucine	75.28127636471021
lysine	88.6465592863964
methionine	19.590418450934614
nicotinamide	-253.87753541583947
ornithine	-22.17676051543814
pantothenic_acid	236.44621235850403
pc1	-48.1554814508001
pc10	-4.821941578813123
pc2	21.700802106481454
pc3	8.738307108018859
pc4	-5.628536316905975
pc5	10.746773161010509
pc6	-6.777389474587602
pc7	-5.453927544564073
pc8	8.059549643564637
pc9	8.574972161989113
phenylalanine	64.23745373141755
proline	171.0451781179648
riboflavin	53.320394650423474
right_hand_before_eating	-0.93616743
right_hand_before_feeding_child	1.2969248025870437
serine	89.3141208194418
soap_after_defecating	1.3401564355842908
soap_before_eating	-0.6609049715384615
soap_before_feeding_child	1.3109902211355637
taurine	-35.77748361538441
threonine	58.338956936075206
tmao	5.666881328660432
trytophan	38.859501451735106
tyrosine	80.70292868115355
valine	115.46243366612428
water_after_defecating	1.2232950662098285
water_before_eating	1.336827888093723
water_before_feeding_child	-0.7174864191600001
