	min	max
alanine	216.6	715.5
arginine	24.1	108.7
asparagine	41.3	81.1
aspartic_acid	2.5	7.8
citrulline	13.8	48.9
glutamic_acid	28.0	102.1
glutamine	403.1	929.9
glycine	171.9	377.2
histidine	50.5	103.7
hydroxyproline	6.8	49.8
isoleucine	38.9	82.3
leucine	64.0	124.9
lysine	73.6	200.0
methionine	14.1	34.4
ornithine	37.3	100.0
phenylalanine	47.7	110.0
proline	201.0	551.7
serine	105.6	221.7
taurine	23.4	96.5
threonine	52.0	179.0
trytophan	21.9	76.3
tyrosine	41.9	110.6
valine	109.0	225.5
