	min	max
alanine	144.1	793.8
arginine	14.6	82.3
asparagine	26.3	74.6
aspartic_acid	2.2	10.2
citrulline	7.9	34.2
glutamic_acid	28.2	114.7
glutamine	315.1	1029.8
glycine	96.1	315.1
histidine	43.8	95.8
hydroxyproline	9.2	36.8
isoleucine	25.4	87.6
leucine	46.5	134.9
lysine	42.0	184.9
methionine	12.1	28.5
ornithine	24.2	86.7
phenylalanine	37.1	120.2
proline	182.5	501.7
serine	55.0	181.0
taurine	6.0	59.4
threonine	24.7	132.1
trytophan	14.6	64.1
tyrosine	27.3	112.9
valine	73.9	213.2
